Fullname,Nationality,Gender,Passport_Number,Age,BMI,Systolic_BP,Diastolic_BP,Total_Cholesterol,HDL_Cholesterol,Num_Critical_Diseases,ICD_E08_E13_Diabetes,ICD_I10_I15_Hypertension,ICD_I20_I50_HeartDisease,ICD_J40_J47_Respiratory,ICD_N18_KidneyDisease,Smoker,Needs_Walking_Assist,Uses_Oxygen,Takes_Diuretics,Takes_Beta_Blockers,CVD_Risk_Score,Triage_Category
Lance Hall,Congo,M,8754578030861,68,31.3,120,95,264,63,0,0,0,0,0,0,0,0,0,0,0,17.5,Orange
Regina Good,Angola,M,5233407901198,92,20.5,153,80,174,73,1,0,1,0,0,0,1,0,0,0,0,35.0,Red
Sharon Miller,Malawi,M,0942343257393,68,34.0,127,83,177,52,0,0,0,0,0,0,0,0,0,0,0,12.5,Green
Tammy Reed,Turkey,M,6212372152414,94,39.4,134,83,189,61,0,0,0,0,0,0,0,0,0,0,0,25.0,Red
John Peters,French Southern Territories,F,8950819537032,48,26.0,116,80,181,36,0,0,0,0,0,0,0,0,0,0,0,7.5,Green
Jacob Lee,New Zealand,F,6967682697499,25,20.4,109,82,154,40,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Marcia Shelton,Iceland,M,9621003477302,77,30.8,130,82,238,47,1,1,0,0,0,0,0,0,0,0,0,27.5,Red
Richard Williams DDS,Paraguay,M,6501696992807,41,31.9,136,91,204,67,0,0,0,0,0,0,0,0,0,0,0,2.5,Green
Amy Martinez,Korea,F,3539522674934,52,41.5,125,81,209,57,1,0,1,0,0,0,0,0,0,0,0,7.5,Orange
Shannon Medina,Burundi,M,9965546535151,22,38.1,190,94,147,54,1,0,1,0,0,0,0,0,0,1,0,10.0,Red
Valerie Williams,Italy,M,3870444504450,51,30.2,145,87,201,33,1,0,1,0,0,0,0,0,0,0,0,17.5,Orange
Terri Larson,Brazil,F,8718811391775,44,16.0,105,84,238,68,0,0,0,0,0,0,1,0,0,0,0,7.5,Green
Allen Hampton,Timor-Leste,F,9043382758016,26,22.3,122,70,158,35,1,0,1,0,0,0,0,0,0,1,0,5.0,Orange
Joseph Chandler,Guernsey,M,9417188549121,65,41.4,140,85,273,59,1,0,1,0,0,0,0,0,0,0,0,22.5,Red
Erika Cole,Japan,F,0607321778627,53,22.4,147,92,237,74,1,0,1,0,0,0,1,0,0,1,0,17.5,Orange
Billy Cortez,Suriname,F,4405403870391,65,34.1,142,91,153,31,1,0,1,0,0,0,0,0,0,0,0,22.5,Red
Devin Hall DDS,Seychelles,M,9943014606909,29,18.0,127,80,150,56,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Nicholas Hogan,Liechtenstein,M,0791209133025,37,36.8,137,81,171,48,2,1,1,0,0,0,1,0,0,0,0,17.5,Orange
Jared Wu,Cambodia,M,3122608844026,47,24.1,122,66,247,31,1,0,1,0,0,0,0,0,0,1,0,15.0,Orange
Rachel Herrera,Kenya,M,8992844097433,65,28.2,155,88,250,42,2,1,1,0,0,0,0,0,0,0,0,32.5,Red
Mark Snyder,Panama,M,7240916756551,23,34.1,142,80,177,62,1,0,1,0,0,0,0,0,0,0,0,2.5,Green
Martha Jimenez,Angola,F,5336266879834,73,38.5,131,85,248,30,0,0,0,0,0,0,0,0,0,0,0,30.0,Red
